X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,station,station_name,Total Riders
,,519,ACD,"Arcadia, Missouri",Arcadia,MO,29,"Arcadia, Missouri",Arcadia, -   
-87.492747,31.024229,520,ATR,"Artmore, Alabama",Artmore,AL,1,"Artmore, Alabama",Artmore, -   
-117.318743,33.109248,380,POI,"Carlsbad Poinsettia, CA",Carlsbad Poinsettia,CA,6,"Carlsbad Poinsettia, CA",Carlsbad Poinsettia, -   
-117.35073,33.160989,376,CBV,"Carlsbad Village, CA",Carlsbad Village,CA,6,"Carlsbad Village, CA",Carlsbad Village, -   
-82.832501,34.691115,466,CSN,"Clemson, South Carolina",Clemson,SC,45,"Clemson, South Carolina",Clemson, -   
-117.293204,33.047109,370,ENC,"Encinitas, CA",Encinitas,CA,6,"Encinitas, CA",Encinitas, -   
-70.102358,43.855035,324,FRE,"Freeport, ME",Freeport,ME,23,"Freeport, ME",Freeport, -   
-104.6885,40.424,525,GRE,"Greeley, Colorado",Greeley,CO,8,"Greeley, Colorado",Greeley, -   
-72.600765,42.585458,402,GFD,"Greenfield, MA",Greenfield,MA,25,"Greenfield, MA",Greenfield, -   
-72.602309,42.204156,508,HLK,"Holyoke, Massachusetts",Holyoke,MA,25,"Holyoke, Massachusetts",Holyoke, -   
-93.592247,33.668913,498,HOP,"Hope, AR",Hope,AR,5,"Hope, AR",Hope, -   
-87.871545,41.815634,314,LAG,"La Grange, Illinois",LaGrange Road,IL,17,"La Grange, Illinois",La Grange, -   
-120.605001,34.682704,363,LPS,"Lompoc-Surf, California",Lompoc-Surf,CA,6,"Lompoc-Surf, California",Lompoc-Surf, -   
-89.262264,36.112711,454,NBN,"Newbern-Dyersburg, Tennessee",Newbern-Dyersburg,TN,47,"Newbern-Dyersburg, Tennessee",Newbern-Dyersburg, -   
-76.276195,36.843509,162,NFK,"Norfolk, Virginia",Norfolk,VA,51,"Norfolk, Virginia",Norfolk, -   
-72.626379,42.318858,261,NHT,"Northampton, MA",Northampton,MA,25,"Northampton, MA",Northampton, -   
-122.794059,46.991273,122,OLW,"Olympia/Lacey, Washington",Olympia-Lacey,WA,53,"Olympia/Lacey, Washington",Olympia/Lacey, -   
-116.547913,33.897491,470,PSN,"Palm Springs (Train), California",Palm Springs,CA,6,"Palm Springs (Train), California",Palm Springs - Train, -   
-75.155114,39.99678,507,PHN,"Philadelphia (North), Pennsylvania",North Philadelphia,PA,42,"Philadelphia (North), Pennsylvania",North Philadelphia, -   
-73.403536,44.524079,515,PRK,"Port Kent, New York",Port Kent,NY,36,"Port Kent, New York",Port Kent, -   
-117.224892,32.902684,253,SRB,"Sorrento Valley, CA",Sorrento Valley,CA,6,"Sorrento Valley, CA",Sorrento Valley, -   
-83.191026,42.542555,229,TRM,"Troy, MI",Troy,MI,26,"Troy, MI",Troy, -   
-120.798009,37.527229,208,TRK,"Turlock-Denair, California",Turlock-Denair,CA,6,"Turlock-Denair, California",Turlock-Denair, -   
-121.936576,37.353219,165,SCC,University Station,Santa Clara University,CA,6,University Station,University Statio, -   
-69.965494,43.911245,216,BRK,Visitor's Center,Brunswick,ME,23,Visitor's Center,Visitor's Cente, -   
-72.384958,43.479908,510,WNM,"Windsor, Vermont",Windsor-Mt. Ascutney,VT,50,"Windsor, Vermont",Windsor-Mt. Ascutney, -   
-105.817388,39.947566,354,WIP,"Winter Park/Fraser, Colorado",Fraser-Winter Park,CO,8,"Winter Park/Fraser, Colorado",Winter Park/Fraser, -   
-89.333338,30.3142,521,BAS,"Bay St. Louis, Mississippi",Bay St. Louis,MS,28,"Bay St. Louis, Mississippi",Bay St. Louis, -   
-88.885375,30.408387,522,BIX,"Biloxi, Mississippi",Biloxi,MS,28,"Biloxi, Mississippi",Biloxi, -   
-85.539885,30.79425,523,CIP,"Chipley, Florida",Chipley,FL,12,"Chipley, Florida",Chipley, -   
-86.55855,30.764235,524,CSV,"Crestview, Florida",Crestview,FL,12,"Crestview, Florida",Crestview, -   
-83.413218,30.459878,526,MDO,"Madison, Florida",Madison,FL,12,"Madison, Florida",Madison, -   
-88.047508,30.708108,527,MOE,"Mobile, Alabama",Mobile,AL,1,"Mobile, Alabama",Mobile, -   
-87.205038,30.417749,528,PNS,"Pensacola, Florida",Pensacola,FL,12,"Pensacola, Florida",Pensacola, -   
-84.289348,30.432611,529,TLH,"Tallahassee, Florida",Tallahassee,FL,12,"Tallahassee, Florida",Tallahassee, -   
-73.994459,40.750327,1,NYP,"New York (Penn Station), New York",New York,NY,36,"New York (Penn Station), New York",New York / Penn Station,"9,860,400"
-77.006422,38.896993,2,WAS,"Washington, District of Columbia",Washington,DC,11,"Washington, District of Columbia",Washington,"5,039,100"
-75.181041,39.955615,3,PHL,"Philadelphia (30th St), Pennsylvania",Philadelphia,PA,42,"Philadelphia (30th St), Pennsylvania",Philadelphia - 30th St,"4,417,000"
-87.639443,41.878684,4,CHI,"Chicago (Union Station), Illinois",Chicago,IL,17,"Chicago (Union Station), Illinois",Chicago - Union Station,"3,293,600"
-71.055304,42.352311,5,BOS,"Boston (South Station), Massachusetts",Boston,MA,25,"Boston (South Station), Massachusetts",Boston - South Station,"1,533,500"
-118.236778,34.056177,6,LAX,"Los Angeles, California",Los Angeles,CA,6,"Los Angeles, California",Los Angeles,"1,446,900"
-121.500704,38.584004,7,SAC,"Sacramento, California",Sacramento,CA,6,"Sacramento, California",Sacramento,"1,072,100"
-76.615688,39.307302,8,BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,24,"Baltimore (Penn Station), Maryland",Baltimore / Penn Station,"1,026,000"
-73.741147,42.641029,9,ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,36,"Albany/Rensselaer, New York",Albany/Rensselaer,"790,500"
-71.413478,41.82949,10,PVD,"Providence, Rhode Island",Providence,RI,44,"Providence, Rhode Island",Providence,"758,400"
-76.6943,39.192362,13,BWI,"BWI Rail Station at Thurgood Marshall Airport, Mar",BWI Marshall Airport,MD,24,"BWI Rail Station at Thurgood Marshall Airport, Mar",Baltimore / BWI Thurgood Marshall Airport,"748,500"
-74.16475,40.734706,14,NWK,"Newark (Penn Station), New Jersey",Newark,NJ,34,"Newark (Penn Station), New Jersey",Newark - Penn Station,"697,500"
-75.551095,39.737263,12,WIL,"Wilmington, Delaware",Wilmington,DE,10,"Wilmington, Delaware",Wilmington,"695,200"
-72.92667,41.297714,16,NHV,"New Haven, Connecticut",New Haven,CT,9,"New Haven, Connecticut",New Haven,"688,900"
-122.330161,47.598445,15,SEA,"Seattle (Amtrak), Washington",Seattle,WA,53,"Seattle (Amtrak), Washington",Seattle ,"677,500"
-71.075828,42.347317,17,BBY,"Boston (Back Bay), Massachusetts",Boston,MA,25,"Boston (Back Bay), Massachusetts",Boston - Back Bay,"676,500"
-117.169576,32.716169,11,SAN,"San Diego (Downtown), California",San Diego,CA,6,"San Diego (Downtown), California",San Diego,"666,000"
-87.917104,43.034518,18,MKE,"Milwaukee, Wisconsin",Milwaukee,WI,55,"Milwaukee, Wisconsin",Milwaukee,"596,200"
-122.291615,37.840474,20,EMY,"Emeryville, California",Emeryville,CA,6,"Emeryville, California",Emeryville,"588,000"
-122.676806,45.528724,19,PDX,"Portland, Oregon",Portland,OR,41,"Portland, Oregon",Portland / Union Station,"565,900"
-76.307714,40.054181,21,LNC,"Lancaster, Pennsylvania",Lancaster,PA,42,"Lancaster, Pennsylvania",Lancaster,"561,400"
-76.878256,40.26205,22,HAR,"Harrisburg, Pennsylvania",Harrisburg,PA,42,"Harrisburg, Pennsylvania",Harrisburg,"507,200"
-71.061122,42.366235,26,BON,"Boston (North Station), Massachusetts",Boston,MA,25,"Boston (North Station), Massachusetts",Boston - North Station,"458,200"
-71.147894,42.210242,24,RTE,"Westwood, Route 128 Station, Massachusetts",Route 128,MA,25,"Westwood, Route 128 Station, Massachusetts",Westwood,"440,800"
-119.00821,35.37214,23,BFD,"Bakersfield, California",Bakersfield,CA,6,"Bakersfield, California",Bakersfield,"431,400"
